"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.482907700E-2,6.498683670E1,2.549627110E1,NaN,NaN,NaN,NaN,2.556861254E-1,1.115672974E3,0.000000000E0,-1.000000000E0
1.786749090E1,6.498460140E1,2.549499560E1,2.062560853E1,3.809999847E1,NaN,NaN,3.245413122E-1,3.912699890E1,1.313763142E0,0.000000000E0
3.785149090E1,6.498447410E1,2.549356250E1,2.062541942E1,3.809999847E1,NaN,NaN,3.298717306E-1,4.028799820E1,1.867443919E0,0.000000000E0
5.785549090E1,6.498442820E1,2.549352980E1,2.062537580E1,3.809999847E1,NaN,NaN,3.660178306E-1,2.128100014E1,1.031822205E0,0.000000000E0
7.784449090E1,6.498436360E1,2.549277640E1,2.062527861E1,3.809999847E1,NaN,NaN,3.783088701E-1,3.982799911E1,2.563263416E0,0.000000000E0
9.786749090E1,6.498440740E1,2.549301640E1,2.152533231E1,3.900000000E1,NaN,NaN,4.280906217E-1,2.268400002E1,1.143056631E0,0.000000000E0
1.178814909E2,6.498397260E1,2.549276410E1,2.132492151E1,3.879999924E1,NaN,NaN,4.419781983E-1,2.297100067E1,1.352621317E0,0.000000000E0
1.378774909E2,6.498385180E1,2.549268910E1,2.132480737E1,3.879999924E1,NaN,NaN,4.536259886E-1,2.191200066E1,1.000000000E0,0.000000000E0
1.578724909E2,6.498395640E1,2.549270240E1,2.122490513E1,3.870000076E1,NaN,NaN,5.109747627E-1,1.943400002E1,1.000000000E0,0.000000000E0
1.778754909E2,6.498396410E1,2.549392190E1,2.132497208E1,3.879999924E1,NaN,NaN,5.366183100E-1,1.685199928E1,1.000000000E0,0.000000000E0
1.979094909E2,6.498413070E1,2.549429900E1,2.122514497E1,3.870000076E1,NaN,NaN,5.401264654E-1,1.506900024E1,1.000000000E0,0.000000000E0
2.178964909E2,6.498411290E1,2.549436060E1,2.132513027E1,3.879999924E1,NaN,NaN,5.582985010E-1,2.263599968E1,1.962253571E0,0.000000000E0
2.379194909E2,6.498404910E1,2.549471640E1,2.122509139E1,3.870000076E1,NaN,NaN,NaN,4.979100037E1,3.704860926E0,0.000000000E0
